iteration,ticks
0,39540
1,11517
2,11673
3,10413
4,9945
5,9861
6,10098
7,9669
8,9765
9,9978
10,10011
11,9309
12,9669
13,10005
14,9537
15,10008
16,9558
17,9597
18,10044
19,10218
20,9975
21,9930
22,9513
23,9597
24,9606
25,10566
26,10986
27,10470
28,11064
29,9930
30,9789
31,9432
32,9867
33,9654
34,11679
35,10221
36,9402
37,9651
38,9744
39,9333
40,9876
41,9282
42,10254
43,10902
44,10275
45,9696
46,10368
47,9588
48,10125
49,9876
50,9411
51,10476
52,9561
53,9816
54,9510
55,10356
56,9513
57,10281
58,10035
59,9777
60,9948
61,9543
62,10485
63,10179
64,10755
65,10182
66,9378
67,9546
68,9849
69,9999
70,10578
71,10755
72,9360
73,9489
74,9873
75,9801
76,9747
77,9969
78,9372
79,10050
80,10038
81,9681
82,10368
83,10560
84,9909
85,10068
86,10101
87,9801
88,9951
89,9423
90,10110
91,9456
92,10047
93,9942
94,10275
95,10110
96,9537
97,10176
98,9462
99,10053
100,10224
101,9744
102,9930
103,9915
104,9657
105,10308
106,10323
107,10749
108,9933
109,9642
110,9384
111,9576
112,9573
113,9918
114,10290
115,10572
116,9759
117,9267
118,9873
119,9264
120,10185
121,9849
122,9522
123,10248
124,10029
125,9795
126,9384
127,10050
128,9960
129,9528
130,9471
131,9813
132,9945
133,9477
134,9855
135,9822
136,9168
137,9846
138,10710
139,9900
140,10044
141,9888
142,9600
143,10470
144,10056
145,9213
146,9765
147,10383
148,10806
149,10161
150,9732
151,10263
152,9450
153,9669
154,10974
155,9489
156,9624
157,10116
158,9696
159,9387
160,10311
161,10515
162,10131
163,11385
164,9621
165,9456
166,10632
167,9576
168,10497
169,10857
170,9927
171,9576
172,9489
173,10236
174,9729
175,10173
176,9384
177,10017
178,9957
179,9933
180,9960
181,9822
182,10683
183,10215
184,9657
185,11907
186,10569
187,10746
188,10962
189,10101
190,10686
191,10707
192,10479
193,10284
194,9348
195,9645
196,9834
197,9642
198,10089
199,9393
200,9543
201,10710
202,10044
203,10002
204,10887
205,10044
206,10029
207,9690
208,9261
209,10440
210,9741
211,11133
212,10458
213,9552
214,11247
215,10818
216,9237
217,9570
218,9201
219,9498
220,9774
221,10089
222,10197
223,10239
224,9843
225,9711
226,10566
227,9543
228,9183
229,9546
230,10365
231,9594
232,10755
233,10122
234,10230
235,9888
236,10134
237,9237
238,9744
239,11106
240,9966
241,10803
242,10128
243,9903
244,10359
245,9732
246,9993
247,9432
248,10281
249,9417
250,10410
251,9879
252,9795
253,11211
254,9753
255,9942
256,10365
257,10512
258,10017
259,9942
260,9540
261,9783
262,9831
263,9939
264,10629
265,10569
266,11688
267,11550
268,10473
269,10362
270,9867
271,9567
272,9636
273,10146
274,10554
275,10077
276,9270
277,9675
278,9576
279,10215
280,10200
281,9624
282,9588
283,10221
284,9516
285,10431
286,9636
287,9747
288,11271
289,9978
290,10248
291,9846
292,9738
293,9963
294,10521
295,11493
296,10077
297,9306
298,10821
299,10371
300,9429
301,9855
302,9741
303,10224
304,9948
305,11142
306,9732
307,10371
308,9729
309,9654
310,9546
311,9630
312,9879
313,9255
314,9744
315,10071
316,9393
317,10671
318,9642
319,9327
320,10440
321,10083
322,10662
323,9288
324,10236
325,9648
326,9519
327,9741
328,9369
329,9639
330,10212
331,9864
332,9807
333,10053
334,10935
335,9213
336,10203
337,9363
338,9306
339,9555
340,9930
341,9549
342,10272
343,10524
344,9711
345,10791
346,10749
347,12558
348,10542
349,10182
350,10440
351,9618
352,9519
353,9453
354,10020
355,9939
356,10473
357,9342
358,10440
359,13140
360,9708
361,10248
362,10563
363,11547
364,9399
365,10014
366,10656
367,10086
368,10146
369,10575
370,9690
371,9735
372,10191
373,10140
374,9702
375,10197
376,10743
377,9369
378,10431
379,10161
380,11088
381,9966
382,10497
383,9699
384,9639
385,9543
386,9753
387,9321
388,9657
389,9945
390,9648
391,9507
392,9270
393,9900
394,10269
395,10272
396,9900
397,9714
398,9411
399,10779
400,9321
401,9669
402,9141
403,9618
404,9837
405,9945
406,9393
407,10440
408,9378
409,10038
410,9729
411,9072
412,9258
413,9639
414,9366
415,9645
416,9366
417,9966
418,10119
419,9771
420,9750
421,9483
422,9612
423,9975
424,9426
425,26493
426,11304
427,11337
428,10569
429,9471
430,9861
431,10299
432,9864
433,9903
434,10914
435,9795
436,9627
437,9573
438,9891
439,9642
440,10086
